id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
50561,"Praça Arthur Lago - Pernambués, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,PERNAMBUES,CHACARA PERSEVERANCA,,-12.9665429,-38.4658082,"02/07/2022, 21:30:00",false,false,,Não identificado,,,false,922f6eec-93ca-446e-aa24-e92a3d59ccc7,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50552,"Uruguai, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,URUGUAI,,,-12.9369031,-38.4943721,"04/07/2022, 16:00:00",true,true,17 CIPM,Ação policial,,Perseguição,false,ad1a1b6a-70e9-4ce5-9475-7594aca732e1,People,dead,Sem identificação,"04/07/2022, 19:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50552,"Uruguai, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,URUGUAI,,,-12.9369031,-38.4943721,"04/07/2022, 16:00:00",true,true,17 CIPM,Ação policial,,Perseguição,false,db196f37-0416-41ff-b4a1-b019d1811088,People,dead,Sem identificação,"04/07/2022, 19:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50577,"Águas Claras, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,AGUAS CLARAS,,LOTEAMENTO CONDOR,-12.897762766610727,-38.44242631907958,"04/07/2022, 21:00:00",false,false,,Disputa,,,false,3d9bac6b-0733-498b-acb3-7d6437befc46,People,dead,Sem identificação,"04/07/2022, 21:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50562,Rua do Canal - Bom Juá,Nordeste,Bahia,SALVADOR,BOM JUA,,,-12.940552323769554,-38.473249066686996,"05/07/2022, 19:00:00",false,false,,Homicidio/Tentativa,,,false,a425914b-004d-46f8-9f40-6d6af69ac80d,People,dead,Sem identificação,"05/07/2022, 20:59:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50598,"Rua dos Cajueiros - Cassange, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,CASSANGE,,,-12.8942992,-38.3751866,"07/07/2022, 17:00:00",false,false,,Homicidio/Tentativa,,,false,58147660-b7e0-43f6-b6e9-28448efca95e,People,dead,Sem identificação,"07/07/2022, 19:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50598,"Rua dos Cajueiros - Cassange, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,CASSANGE,,,-12.8942992,-38.3751866,"07/07/2022, 17:00:00",false,false,,Homicidio/Tentativa,,,false,e2d36181-2e56-43df-8bde-77aa6493f327,People,dead,Sem identificação,"07/07/2022, 19:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50603,"Rua Eixo 11- Faz. Coutos 3ª Etapa - Fazenda Coutos, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,FAZENDA COUTOS,,TEOTONIO VILELA (FAZENDA COUTOS),-12.845197199999989,-38.45965071534424,"07/07/2022, 20:20:00",true,true,RONDESP,Operação policial,,,false,50e0c628-9686-44ef-ad9b-2f88e8216c07,People,dead,Sem identificação,"07/07/2022, 20:20:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50605,"Santa Cruz, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,SANTA CRUZ,,,-13.0037355,-38.4788023,"07/07/2022, 21:00:00",false,false,,Homicidio/Tentativa,,,false,85ec73ec-ab9e-4a4b-86af-cc5abccbedab,People,dead,Sem identificação,"07/07/2022, 21:00:00",Civilian,43,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50621,"Avenida Ulysses Guimarães - Sussuarana, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,SUSSUARANA,,,-12.9354062,-38.4400902,"09/07/2022, 00:00:00",false,false,,Homicidio/Tentativa,,,false,0f9fe492-6e70-42cd-936f-ea5f9174420d,People,dead,Sem identificação,"09/07/2022, 00:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
